0, 0
5.44663, 624.2
9.68289, 1879.37
14.5243, 4960.86
19.971, 10729.9
24.8124, 19667.5
29.6539, 32299.2
34.4953, 53524
39.9419, 90159.6
45.3886, 154201
49.6248, 234609
55.0715, 420106
59.9129, 726147
64.7543, 1.35464e+06
69.5958, 3.09424e+06
74.4372, 8.04363e+06
79.8839, 6.33529e+07
84.7253, 3.25222e+08
89.5668, 2.12079e+07
94.4082, 8.28617e+06
99.8548, 4.39318e+06
104.696, 2.94601e+06
109.538, 2.16998e+06
114.984, 1.83299e+06
119.826, 1.53036e+06
124.667, 1.34808e+06
129.509, 1.23634e+06
134.955, 1.15306e+06
139.797, 1.12095e+06
144.638, 1.04921e+06
149.48, 1.00623e+06
154.926, 973872
159.768, 939071
164.609, 893810
169.451, 853957
174.292, 830001
179.739, 780835
184.58, 743865
189.422, 711144
194.868, 677638
199.71, 651951
204.551, 622469
209.998, 598824
214.839, 575096
219.681, 558642
223.917, 545947
229.364, 525290
234.81, 506663
239.046, 508805
244.493, 567894
4.84145, 3688.76
9.68289, 18582.3
14.5243, 60144.5
19.971, 175303
24.8124, 478295
30.259, 1.54411e+06
35.1005, 7.86435e+06
39.9419, 3.5667e+09
44.7834, 1.60095e+07
49.6248, 4.62784e+06
55.0715, 2.53371e+06
59.9129, 1.6609e+06
64.7543, 1.22965e+06
69.5958, 1.02788e+06
74.4372, 853584
79.8839, 752289
84.7253, 663140
89.5668, 614104
94.4082, 574584
99.8548, 525182
104.696, 500140
109.538, 468564
114.984, 449216
119.826, 434364
124.667, 421308
129.509, 402757
134.955, 391792
139.797, 389101
144.638, 380866
149.48, 384164
154.926, 380973
159.768, 383791
164.609, 381558
169.451, 379436
174.897, 380954
179.739, 378883
184.58, 372936
189.422, 371208
194.868, 368897
199.71, 363845
204.551, 359129
209.998, 357373
214.839, 353141
219.681, 349167
224.522, 348280
229.364, 344650
234.81, 340809
239.652, 337592
244.493, 354728
249.94, 386666
254.781, 416779
259.623, 450199
264.464, 487431
269.911, 534391
274.752, 584965
279.594, 642171
5.44663, 1.30726e+06
9.68289, 9.49052e+06
14.5243, 1.42197e+06
20.5761, 768131
24.8124, 624989
30.259, 530237
34.4953, 486333
39.9419, 448598
44.7834, 425229
49.6248, 378714
54.4663, 368716
59.9129, 359742
64.7543, 353237
70.201, 347146
74.4372, 343108
79.8839, 338623
84.7253, 335174
89.5668, 332136
94.4082, 329438
99.8548, 326743
104.696, 324599
109.538, 322658
114.984, 320682
119.826, 319083
124.667, 317613
129.509, 316256
134.955, 323656
139.192, 313832
144.638, 320877
149.48, 319629
154.926, 318324
159.768, 317241
164.609, 316224
169.451, 315266
174.292, 320654
179.739, 319523
184.58, 324114
189.422, 317679
194.868, 321977
199.71, 321053
204.551, 320174
209.998, 319237
214.839, 318446
219.681, 317691
224.522, 316970
229.969, 316197
234.81, 315541
239.046, 314989
244.493, 322075
250.545, 334816
254.781, 349450
259.623, 362715
264.464, 383438
269.911, 405531
274.752, 429841
279.594, 450889
284.435, 482618
289.882, 516589
294.723, 551514
